AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,Annual_Pct10,Annual_Pct25,Annual_Median,Annual_Pct75,Annual_Pct90,Annual_Mean
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26850,31310,36910,40280,47080,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26850,33530,41070,48980,61340,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26850,33530,41070,48980,61340,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",44460,47810,48890,50150,50180,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",44460,47810,48890,50150,50180,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,34650,36020,42060,56390,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",38970,46020,57740,75940,89360,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",38970,46020,57740,75940,89360,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",38970,46020,57740,75940,89360,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,34440,35670,38550,46010,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33050,37530,41180,48230,65520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33050,37530,41180,48230,65520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35790,40940,48670,59760,82520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35790,40940,48670,59760,82520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29050,33280,34840,36380,38380,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29050,33280,34840,36380,38380,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,34460,35690,38640,46170,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29760,34340,37940,45090,54230,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33440,34550,35540,37880,44760,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26830,31090,35990,43700,49570,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26350,35970,44310,53630,77220,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",36290,45250,51390,62120,74990,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",36290,45250,51390,62120,74990,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35650,43670,56980,74940,97000,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",36450,45370,50400,61670,73910,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31550,44760,53900,64190,82020,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37250,42470,54770,62000,70110,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37280,42800,53430,66400,86590,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37300,40700,50890,62920,77040,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39810,46030,46500,57310,94320,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39810,46030,46500,57310,94320,
